"ID","Sex","Year","BirthYear","FinalYear","ARS1yr","GroupSize","HelpersF","Siblings","TQ","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge"
5748,0,2013,2011,2015,0,2,0,0,31376.00397,3608,5237,5237,5.92328767123288,3.16986301369863,3.16986301369863
5748,0,2014,2011,2015,0,2,0,0,31376.00397,3608,5237,5237,5.92328767123288,3.16986301369863,3.16986301369863
5748,0,2011,2011,2015,0,2,0,0,31376.00397,3608,5237,5237,5.92328767123288,3.16986301369863,3.16986301369863
5748,0,2015,2011,2015,0,2,0,0,31376.00397,3608,5237,5237,5.92328767123288,3.16986301369863,3.16986301369863
5750,0,2012,2011,2015,0,4,1,0,92085.58433,1826,3456,1499,7.98356164383562,7.13698630136986,11.9780821917808
5750,0,2013,2011,2015,0,4,1,0,92085.58433,1826,3456,1499,7.98356164383562,7.13698630136986,11.9780821917808
5750,0,2011,2011,2015,0,4,1,0,92085.58433,1826,3456,1499,7.98356164383562,7.13698630136986,11.9780821917808
5750,0,2014,2011,2015,1,4,1,0,92085.58433,1826,3456,1499,7.98356164383562,7.13698630136986,11.9780821917808
5750,0,2015,2011,2015,0,4,1,0,92085.58433,1826,3456,1499,7.98356164383562,7.13698630136986,11.9780821917808
5764,1,2014,2011,2015,0,3,1,0,50296.60333,5452,5334,5334,2.36712328767123,2.6027397260274,2.6027397260274
5764,1,2012,2011,2015,0,3,1,0,50296.60333,5452,5334,5334,2.36712328767123,2.6027397260274,2.6027397260274
5764,1,2013,2011,2015,0,3,1,0,50296.60333,5452,5334,5334,2.36712328767123,2.6027397260274,2.6027397260274
5764,1,2011,2011,2015,0,3,1,0,50296.60333,5452,5334,5334,2.36712328767123,2.6027397260274,2.6027397260274
